epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,243.406,1.40693,2.90474,1.3819,0.36716,0.26465,0.23256,0.14793,1.49083,5.64701,1.52886,0.00048,0.00048,0.00048
2,-19307.7,1.24184,1.68152,1.28779,0.53846,0.27599,0.30832,0.19446,1.69862,5.12575,1.99993,0.00088298,0.00088298,0.00088298
3,-19060.6,1.26626,1.51691,1.29615,0.27257,0.29961,0.18129,0.10105,1.99652,3.99992,2.26298,0.00118696,0.00118696,0.00118696
4,-18825.1,1.33304,1.58552,1.37956,0.55958,0.26087,0.29438,0.18047,2.23809,3.06794,2.63999,0.00139194,0.00139194,0.00139194
5,-18588.5,1.33948,1.45814,1.37818,0.63256,0.4556,0.52716,0.34656,1.64827,2.22712,1.91206,0.001208,0.001208,0.001208
6,-18343.1,1.29983,1.38965,1.38049,0.57449,0.4543,0.46191,0.26334,1.65278,2.39354,1.83037,0.00101,0.00101,0.00101
7,-18097.2,1.15939,1.2254,1.27044,0.73093,0.58412,0.67547,0.45735,1.2257,1.5283,1.49647,0.000812,0.000812,0.000812
8,-17845.2,1.11575,1.09367,1.24328,0.78469,0.65217,0.75822,0.51063,1.21575,1.257,1.44483,0.000614,0.000614,0.000614
9,-17586.6,1.07613,1.03075,1.23838,0.79371,0.66541,0.76326,0.53991,1.10272,1.18745,1.39159,0.000416,0.000416,0.000416
10,-17336.3,1.0168,0.95629,1.20566,0.83133,0.73535,0.83081,0.60218,1.00495,0.92011,1.3176,0.000218,0.000218,0.000218
